folder_name,input_folder,output_folder
0A_650897.0839,/home/linux/IHCPs/dataset_pm1000_sin_white/input/0A_650897.0839,/home/linux/IHCPs/dataset_pm1000_sin_white/output/0A_650897.0839
100A_387285.5625,/home/linux/IHCPs/dataset_pm1000_sin_white/input/100A_387285.5625,/home/linux/IHCPs/dataset_pm1000_sin_white/output/100A_387285.5625
101A_465264.6013,/home/linux/IHCPs/dataset_pm1000_sin_white/input/101A_465264.6013,/home/linux/IHCPs/dataset_pm1000_sin_white/output/101A_465264.6013
102A_244635.9043,/home/linux/IHCPs/dataset_pm1000_sin_white/input/102A_244635.9043,/home/linux/IHCPs/dataset_pm1000_sin_white/output/102A_244635.9043
103A_718282.7722,/home/linux/IHCPs/dataset_pm1000_sin_white/input/103A_718282.7722,/home/linux/IHCPs/dataset_pm1000_sin_white/output/103A_718282.7722
104A_222054.7294,/home/linux/IHCPs/dataset_pm1000_sin_white/input/104A_222054.7294,/home/linux/IHCPs/dataset_pm1000_sin_white/output/104A_222054.7294
105A_346154.5291,/home/linux/IHCPs/dataset_pm1000_sin_white/input/105A_346154.5291,/home/linux/IHCPs/dataset_pm1000_sin_white/output/105A_346154.5291
106A_337710.8089,/home/linux/IHCPs/dataset_pm1000_sin_white/input/106A_337710.8089,/home/linux/IHCPs/dataset_pm1000_sin_white/output/106A_337710.8089
107A_477134.4024,/home/linux/IHCPs/dataset_pm1000_sin_white/input/107A_477134.4024,/home/linux/IHCPs/dataset_pm1000_sin_white/output/107A_477134.4024
108A_917536.3037,/home/linux/IHCPs/dataset_pm1000_sin_white/input/108A_917536.3037,/home/linux/IHCPs/dataset_pm1000_sin_white/output/108A_917536.3037
109A_675507.6185,/home/linux/IHCPs/dataset_pm1000_sin_white/input/109A_675507.6185,/home/linux/IHCPs/dataset_pm1000_sin_white/output/109A_675507.6185
10A_925885.5937,/home/linux/IHCPs/dataset_pm1000_sin_white/input/10A_925885.5937,/home/linux/IHCPs/dataset_pm1000_sin_white/output/10A_925885.5937
110A_233757.6541,/home/linux/IHCPs/dataset_pm1000_sin_white/input/110A_233757.6541,/home/linux/IHCPs/dataset_pm1000_sin_white/output/110A_233757.6541
111A_397895.7805,/home/linux/IHCPs/dataset_pm1000_sin_white/input/111A_397895.7805,/home/linux/IHCPs/dataset_pm1000_sin_white/output/111A_397895.7805
112A_191348.833,/home/linux/IHCPs/dataset_pm1000_sin_white/input/112A_191348.833,/home/linux/IHCPs/dataset_pm1000_sin_white/output/112A_191348.833
113A_788093.8324,/home/linux/IHCPs/dataset_pm1000_sin_white/input/113A_788093.8324,/home/linux/IHCPs/dataset_pm1000_sin_white/output/113A_788093.8324
114A_353325.0188,/home/linux/IHCPs/dataset_pm1000_sin_white/input/114A_353325.0188,/home/linux/IHCPs/dataset_pm1000_sin_white/output/114A_353325.0188
115A_313051.7548,/home/linux/IHCPs/dataset_pm1000_sin_white/input/115A_313051.7548,/home/linux/IHCPs/dataset_pm1000_sin_white/output/115A_313051.7548
116A_527705.713,/home/linux/IHCPs/dataset_pm1000_sin_white/input/116A_527705.713,/home/linux/IHCPs/dataset_pm1000_sin_white/output/116A_527705.713
117A_823020.8978,/home/linux/IHCPs/dataset_pm1000_sin_white/input/117A_823020.8978,/home/linux/IHCPs/dataset_pm1000_sin_white/output/117A_823020.8978
118A_713062.2934,/home/linux/IHCPs/dataset_pm1000_sin_white/input/118A_713062.2934,/home/linux/IHCPs/dataset_pm1000_sin_white/output/118A_713062.2934
119A_159214.0518,/home/linux/IHCPs/dataset_pm1000_sin_white/input/119A_159214.0518,/home/linux/IHCPs/dataset_pm1000_sin_white/output/119A_159214.0518
11A_418623.5196,/home/linux/IHCPs/dataset_pm1000_sin_white/input/11A_418623.5196,/home/linux/IHCPs/dataset_pm1000_sin_white/output/11A_418623.5196
120A_482930.6836,/home/linux/IHCPs/dataset_pm1000_sin_white/input/120A_482930.6836,/home/linux/IHCPs/dataset_pm1000_sin_white/output/120A_482930.6836
121A_576891.4706,/home/linux/IHCPs/dataset_pm1000_sin_white/input/121A_576891.4706,/home/linux/IHCPs/dataset_pm1000_sin_white/output/121A_576891.4706
122A_968259.8779,/home/linux/IHCPs/dataset_pm1000_sin_white/input/122A_968259.8779,/home/linux/IHCPs/dataset_pm1000_sin_white/output/122A_968259.8779
123A_660528.7466,/home/linux/IHCPs/dataset_pm1000_sin_white/input/123A_660528.7466,/home/linux/IHCPs/dataset_pm1000_sin_white/output/123A_660528.7466
124A_781302.1505,/home/linux/IHCPs/dataset_pm1000_sin_white/input/124A_781302.1505,/home/linux/IHCPs/dataset_pm1000_sin_white/output/124A_781302.1505
125A_727665.5815,/home/linux/IHCPs/dataset_pm1000_sin_white/input/125A_727665.5815,/home/linux/IHCPs/dataset_pm1000_sin_white/output/125A_727665.5815
126A_635547.2027,/home/linux/IHCPs/dataset_pm1000_sin_white/input/126A_635547.2027,/home/linux/IHCPs/dataset_pm1000_sin_white/output/126A_635547.2027
127A_887169.7653,/home/linux/IHCPs/dataset_pm1000_sin_white/input/127A_887169.7653,/home/linux/IHCPs/dataset_pm1000_sin_white/output/127A_887169.7653
128A_152835.2393,/home/linux/IHCPs/dataset_pm1000_sin_white/input/128A_152835.2393,/home/linux/IHCPs/dataset_pm1000_sin_white/output/128A_152835.2393
129A_837043.1809,/home/linux/IHCPs/dataset_pm1000_sin_white/input/129A_837043.1809,/home/linux/IHCPs/dataset_pm1000_sin_white/output/129A_837043.1809
12A_702073.7859,/home/linux/IHCPs/dataset_pm1000_sin_white/input/12A_702073.7859,/home/linux/IHCPs/dataset_pm1000_sin_white/output/12A_702073.7859
130A_168700.3093,/home/linux/IHCPs/dataset_pm1000_sin_white/input/130A_168700.3093,/home/linux/IHCPs/dataset_pm1000_sin_white/output/130A_168700.3093
131A_665392.3856,/home/linux/IHCPs/dataset_pm1000_sin_white/input/131A_665392.3856,/home/linux/IHCPs/dataset_pm1000_sin_white/output/131A_665392.3856
132A_536376.548,/home/linux/IHCPs/dataset_pm1000_sin_white/input/132A_536376.548,/home/linux/IHCPs/dataset_pm1000_sin_white/output/132A_536376.548
133A_957192.8415,/home/linux/IHCPs/dataset_pm1000_sin_white/input/133A_957192.8415,/home/linux/IHCPs/dataset_pm1000_sin_white/output/133A_957192.8415
134A_731962.2922,/home/linux/IHCPs/dataset_pm1000_sin_white/input/134A_731962.2922,/home/linux/IHCPs/dataset_pm1000_sin_white/output/134A_731962.2922
135A_197489.8617,/home/linux/IHCPs/dataset_pm1000_sin_white/input/135A_197489.8617,/home/linux/IHCPs/dataset_pm1000_sin_white/output/135A_197489.8617
136A_349680.4995,/home/linux/IHCPs/dataset_pm1000_sin_white/input/136A_349680.4995,/home/linux/IHCPs/dataset_pm1000_sin_white/output/136A_349680.4995
137A_842516.5175,/home/linux/IHCPs/dataset_pm1000_sin_white/input/137A_842516.5175,/home/linux/IHCPs/dataset_pm1000_sin_white/output/137A_842516.5175
138A_785054.3571,/home/linux/IHCPs/dataset_pm1000_sin_white/input/138A_785054.3571,/home/linux/IHCPs/dataset_pm1000_sin_white/output/138A_785054.3571
139A_450584.4477,/home/linux/IHCPs/dataset_pm1000_sin_white/input/139A_450584.4477,/home/linux/IHCPs/dataset_pm1000_sin_white/output/139A_450584.4477
13A_767175.4608,/home/linux/IHCPs/dataset_pm1000_sin_white/input/13A_767175.4608,/home/linux/IHCPs/dataset_pm1000_sin_white/output/13A_767175.4608
140A_795440.2268,/home/linux/IHCPs/dataset_pm1000_sin_white/input/140A_795440.2268,/home/linux/IHCPs/dataset_pm1000_sin_white/output/140A_795440.2268
141A_124722.6473,/home/linux/IHCPs/dataset_pm1000_sin_white/input/141A_124722.6473,/home/linux/IHCPs/dataset_pm1000_sin_white/output/141A_124722.6473
142A_216840.9636,/home/linux/IHCPs/dataset_pm1000_sin_white/input/142A_216840.9636,/home/linux/IHCPs/dataset_pm1000_sin_white/output/142A_216840.9636
143A_766639.0503,/home/linux/IHCPs/dataset_pm1000_sin_white/input/143A_766639.0503,/home/linux/IHCPs/dataset_pm1000_sin_white/output/143A_766639.0503
144A_261984.6919,/home/linux/IHCPs/dataset_pm1000_sin_white/input/144A_261984.6919,/home/linux/IHCPs/dataset_pm1000_sin_white/output/144A_261984.6919
145A_251158.1641,/home/linux/IHCPs/dataset_pm1000_sin_white/input/145A_251158.1641,/home/linux/IHCPs/dataset_pm1000_sin_white/output/145A_251158.1641
146A_485604.182,/home/linux/IHCPs/dataset_pm1000_sin_white/input/146A_485604.182,/home/linux/IHCPs/dataset_pm1000_sin_white/output/146A_485604.182
147A_945998.2591,/home/linux/IHCPs/dataset_pm1000_sin_white/input/147A_945998.2591,/home/linux/IHCPs/dataset_pm1000_sin_white/output/147A_945998.2591
148A_735251.7906,/home/linux/IHCPs/dataset_pm1000_sin_white/input/148A_735251.7906,/home/linux/IHCPs/dataset_pm1000_sin_white/output/148A_735251.7906
149A_380438.1684,/home/linux/IHCPs/dataset_pm1000_sin_white/input/149A_380438.1684,/home/linux/IHCPs/dataset_pm1000_sin_white/output/149A_380438.1684
14A_774545.519,/home/linux/IHCPs/dataset_pm1000_sin_white/input/14A_774545.519,/home/linux/IHCPs/dataset_pm1000_sin_white/output/14A_774545.519
150A_942459.873,/home/linux/IHCPs/dataset_pm1000_sin_white/input/150A_942459.873,/home/linux/IHCPs/dataset_pm1000_sin_white/output/150A_942459.873
