folder_name,input_folder,output_folder
0A_1529280.5276,/home/linux/IHCPs/dataset_pm1000_constant/input/0A_1529280.5276,/home/linux/IHCPs/dataset_pm1000_constant/output/0A_1529280.5276
100A_716295.174,/home/linux/IHCPs/dataset_pm1000_constant/input/100A_716295.174,/home/linux/IHCPs/dataset_pm1000_constant/output/100A_716295.174
101A_924573.1733,/home/linux/IHCPs/dataset_pm1000_constant/input/101A_924573.1733,/home/linux/IHCPs/dataset_pm1000_constant/output/101A_924573.1733
102A_1190001.0165,/home/linux/IHCPs/dataset_pm1000_constant/input/102A_1190001.0165,/home/linux/IHCPs/dataset_pm1000_constant/output/102A_1190001.0165
103A_1925245.3476,/home/linux/IHCPs/dataset_pm1000_constant/input/103A_1925245.3476,/home/linux/IHCPs/dataset_pm1000_constant/output/103A_1925245.3476
104A_651321.4026,/home/linux/IHCPs/dataset_pm1000_constant/input/104A_651321.4026,/home/linux/IHCPs/dataset_pm1000_constant/output/104A_651321.4026
105A_874021.0441,/home/linux/IHCPs/dataset_pm1000_constant/input/105A_874021.0441,/home/linux/IHCPs/dataset_pm1000_constant/output/105A_874021.0441
106A_1567326.247,/home/linux/IHCPs/dataset_pm1000_constant/input/106A_1567326.247,/home/linux/IHCPs/dataset_pm1000_constant/output/106A_1567326.247
107A_1017571.4995,/home/linux/IHCPs/dataset_pm1000_constant/input/107A_1017571.4995,/home/linux/IHCPs/dataset_pm1000_constant/output/107A_1017571.4995
108A_1374594.5759,/home/linux/IHCPs/dataset_pm1000_constant/input/108A_1374594.5759,/home/linux/IHCPs/dataset_pm1000_constant/output/108A_1374594.5759
109A_1882192.6387,/home/linux/IHCPs/dataset_pm1000_constant/input/109A_1882192.6387,/home/linux/IHCPs/dataset_pm1000_constant/output/109A_1882192.6387
10A_1192318.5836,/home/linux/IHCPs/dataset_pm1000_constant/input/10A_1192318.5836,/home/linux/IHCPs/dataset_pm1000_constant/output/10A_1192318.5836
110A_1370115.9722,/home/linux/IHCPs/dataset_pm1000_constant/input/110A_1370115.9722,/home/linux/IHCPs/dataset_pm1000_constant/output/110A_1370115.9722
111A_940051.7612,/home/linux/IHCPs/dataset_pm1000_constant/input/111A_940051.7612,/home/linux/IHCPs/dataset_pm1000_constant/output/111A_940051.7612
112A_1158899.2184,/home/linux/IHCPs/dataset_pm1000_constant/input/112A_1158899.2184,/home/linux/IHCPs/dataset_pm1000_constant/output/112A_1158899.2184
113A_788221.0951,/home/linux/IHCPs/dataset_pm1000_constant/input/113A_788221.0951,/home/linux/IHCPs/dataset_pm1000_constant/output/113A_788221.0951
114A_1377401.3195,/home/linux/IHCPs/dataset_pm1000_constant/input/114A_1377401.3195,/home/linux/IHCPs/dataset_pm1000_constant/output/114A_1377401.3195
115A_700446.4105,/home/linux/IHCPs/dataset_pm1000_constant/input/115A_700446.4105,/home/linux/IHCPs/dataset_pm1000_constant/output/115A_700446.4105
116A_688364.2187,/home/linux/IHCPs/dataset_pm1000_constant/input/116A_688364.2187,/home/linux/IHCPs/dataset_pm1000_constant/output/116A_688364.2187
117A_1825124.1027,/home/linux/IHCPs/dataset_pm1000_constant/input/117A_1825124.1027,/home/linux/IHCPs/dataset_pm1000_constant/output/117A_1825124.1027
118A_487035.2953,/home/linux/IHCPs/dataset_pm1000_constant/input/118A_487035.2953,/home/linux/IHCPs/dataset_pm1000_constant/output/118A_487035.2953
119A_1886382.4919,/home/linux/IHCPs/dataset_pm1000_constant/input/119A_1886382.4919,/home/linux/IHCPs/dataset_pm1000_constant/output/119A_1886382.4919
11A_494940.378,/home/linux/IHCPs/dataset_pm1000_constant/input/11A_494940.378,/home/linux/IHCPs/dataset_pm1000_constant/output/11A_494940.378
120A_1710041.7059,/home/linux/IHCPs/dataset_pm1000_constant/input/120A_1710041.7059,/home/linux/IHCPs/dataset_pm1000_constant/output/120A_1710041.7059
121A_1601033.1077,/home/linux/IHCPs/dataset_pm1000_constant/input/121A_1601033.1077,/home/linux/IHCPs/dataset_pm1000_constant/output/121A_1601033.1077
122A_494050.5686,/home/linux/IHCPs/dataset_pm1000_constant/input/122A_494050.5686,/home/linux/IHCPs/dataset_pm1000_constant/output/122A_494050.5686
123A_1878869.8672,/home/linux/IHCPs/dataset_pm1000_constant/input/123A_1878869.8672,/home/linux/IHCPs/dataset_pm1000_constant/output/123A_1878869.8672
124A_827742.433,/home/linux/IHCPs/dataset_pm1000_constant/input/124A_827742.433,/home/linux/IHCPs/dataset_pm1000_constant/output/124A_827742.433
125A_1415088.8387,/home/linux/IHCPs/dataset_pm1000_constant/input/125A_1415088.8387,/home/linux/IHCPs/dataset_pm1000_constant/output/125A_1415088.8387
126A_1257857.7649,/home/linux/IHCPs/dataset_pm1000_constant/input/126A_1257857.7649,/home/linux/IHCPs/dataset_pm1000_constant/output/126A_1257857.7649
127A_1669109.0048,/home/linux/IHCPs/dataset_pm1000_constant/input/127A_1669109.0048,/home/linux/IHCPs/dataset_pm1000_constant/output/127A_1669109.0048
128A_1048089.3593,/home/linux/IHCPs/dataset_pm1000_constant/input/128A_1048089.3593,/home/linux/IHCPs/dataset_pm1000_constant/output/128A_1048089.3593
129A_248652.4156,/home/linux/IHCPs/dataset_pm1000_constant/input/129A_248652.4156,/home/linux/IHCPs/dataset_pm1000_constant/output/129A_248652.4156
12A_838868.4051,/home/linux/IHCPs/dataset_pm1000_constant/input/12A_838868.4051,/home/linux/IHCPs/dataset_pm1000_constant/output/12A_838868.4051
130A_1893985.4459,/home/linux/IHCPs/dataset_pm1000_constant/input/130A_1893985.4459,/home/linux/IHCPs/dataset_pm1000_constant/output/130A_1893985.4459
131A_1180590.3479,/home/linux/IHCPs/dataset_pm1000_constant/input/131A_1180590.3479,/home/linux/IHCPs/dataset_pm1000_constant/output/131A_1180590.3479
132A_262691.4596,/home/linux/IHCPs/dataset_pm1000_constant/input/132A_262691.4596,/home/linux/IHCPs/dataset_pm1000_constant/output/132A_262691.4596
133A_1029777.8921,/home/linux/IHCPs/dataset_pm1000_constant/input/133A_1029777.8921,/home/linux/IHCPs/dataset_pm1000_constant/output/133A_1029777.8921
134A_872931.2978,/home/linux/IHCPs/dataset_pm1000_constant/input/134A_872931.2978,/home/linux/IHCPs/dataset_pm1000_constant/output/134A_872931.2978
135A_1558545.2278,/home/linux/IHCPs/dataset_pm1000_constant/input/135A_1558545.2278,/home/linux/IHCPs/dataset_pm1000_constant/output/135A_1558545.2278
136A_1958461.9234,/home/linux/IHCPs/dataset_pm1000_constant/input/136A_1958461.9234,/home/linux/IHCPs/dataset_pm1000_constant/output/136A_1958461.9234
137A_192248.1127,/home/linux/IHCPs/dataset_pm1000_constant/input/137A_192248.1127,/home/linux/IHCPs/dataset_pm1000_constant/output/137A_192248.1127
138A_221206.9512,/home/linux/IHCPs/dataset_pm1000_constant/input/138A_221206.9512,/home/linux/IHCPs/dataset_pm1000_constant/output/138A_221206.9512
139A_1721111.9489,/home/linux/IHCPs/dataset_pm1000_constant/input/139A_1721111.9489,/home/linux/IHCPs/dataset_pm1000_constant/output/139A_1721111.9489
13A_186338.2169,/home/linux/IHCPs/dataset_pm1000_constant/input/13A_186338.2169,/home/linux/IHCPs/dataset_pm1000_constant/output/13A_186338.2169
140A_1316933.7623,/home/linux/IHCPs/dataset_pm1000_constant/input/140A_1316933.7623,/home/linux/IHCPs/dataset_pm1000_constant/output/140A_1316933.7623
141A_1660012.3291,/home/linux/IHCPs/dataset_pm1000_constant/input/141A_1660012.3291,/home/linux/IHCPs/dataset_pm1000_constant/output/141A_1660012.3291
142A_1162927.7614,/home/linux/IHCPs/dataset_pm1000_constant/input/142A_1162927.7614,/home/linux/IHCPs/dataset_pm1000_constant/output/142A_1162927.7614
